ability	evne 
able	có thể 
about	trong khoảng 
above	ở trên 
absence	vắng mặt 
absolutely	tuyệt đối 
accident	tai nạn 
account	tài khoản 
across	băng qua 
action	hoạt động 
activity	hoạt động 
actually	thực ra 
advantage	lợi thế 
adventure	phiêu lưu 
advice	lời khuyên 
affair	ngoại tình 
affection	tình cảm 
afraid	sợ 
afternoon	buổi chiều 
after	sau 
afterwards	về sau 
again	lần nữa 
against	chống lại 
agent	đại lý 
age	tuổi tác 
ago	trước đây 
ahead	phía trước 
aid	viện trợ 
air	không khí 
alarm	báo động 
alive	sống sót 
all	tất cả các 
almost	hầu hết 
alone	một mình 
along	dọc theo 
already	đã 
also	cũng thế 
although	mặc dầu 
altogether	hoàn toàn 
always	luôn luôn 
America	Mỹ 
American	Người Mỹ 
among	trong số 
a	một 
amount	số tiền 
ancient	cổ đại 
and	và 
angel	thiên thần 
anger	Sự phẫn nộ 
angry	bực bội 
animal	thú vật 
an	một 
another	khác 
anxious	lo lắng 
any	bất kì 
anybody	bất cứ ai 
anymore	nữa 
anyone	bất kỳ ai 
anything	bất cứ điều gì 
anyway	dù sao 
anywhere	nơi nào 
apartment	căn hộ, chung cư 
apart	riêng biệt 
apparently	rõ ràng 
appearance	ngoại hình 
April	tháng tư 
area	khu vực 
argument	tranh luận 
arm	cánh tay 
army	quân đội 
around	xung quanh 
arrangement	sắp xếp 
arrival	đến 
article	bài viết 
artist	họa sĩ 
art	nghệ thuật 
aside	sang một bên 
asleep	ngủ say 
as	như 
aspect	diện mạo 
ass	đít 
attack	tấn công 
at	tại 
attempt	cố gắng 
attention	chú ý 
attitude	thái độ 
audience	khán giả 
August	tháng tám 
aunt	dì 
authority	thẩm quyền 
author	tác giả 
awake	thức dậy 
aware	nhận thức 
away	xa 
awful	đáng sợ 
baby	đứa bé 
background	lý lịch 
back	trở lại 
badly	nặng 
bad	xấu 
bag	túi 
balance	cân đối 
ball	trái bóng 
band	ban nhạc 
bank	ngân hàng 
barely	hầu như không 
bare	trần 
bar	quán ba 
base	cơ sở 
basket	bóng rổ 
bathroom	phòng tắm 
battle	trận chiến 
beach	bãi biển 
beam	cây đà 
beast	súc vật 
beautiful	đẹp 
beauty	sắc đẹp, vẻ đẹp 
because	bởi vì 
bed	Giường 
bedroom	phòng ngủ 
beer	chịu 
before	trước 
beginning	bắt đầu 
behind	phía sau 
being	được 
belief	niềm tin 
bell	chuông 
belly	bụng 
below	phía dưới 
belt	dây lưng 
bench	ghế dài 
beneath	ở trên 
benefit	lợi ích 
beside	bên cạnh 
besides	vả lại 
between	giữa 
beyond	vượt ra ngoài 
big	lớn 
bill	hóa đơn 
bird	chim 
birth	sinh 
bitter	đắng 
black	đen 
blade	lá 
blanket	hình thức 
blind	mù 
block	khối 
blood	máu 
bloody	dính máu 
blue	màu xanh da trời 
board	bảng 
boat	thuyền 
body	thân hình 
bone	xương 
book	sách 
boot	thuyền 
border	biên giới 
both	cả hai 
bottle	chai 
bottom	dưới cùng 
bound	ràng buộc 
bowl	bát 
box	cái hộp 
boy	con trai 
brain	não 
branch	chi nhánh 
brave	can đảm 
bread	bánh mì 
breakfast	bữa sáng 
breast	nhũ hoa 
breath	hơi thở 
breeze	gió 
bridge	cầu 
bright	sáng 
brilliant	rực rỡ 
British	Anh 
broad	rộng 
broken	bị hỏng 
brother	em trai 
brown	nâu 
brow	trán 
building	Tòa nhà 
bullet	đạn 
bush	bụi cây 
business	kinh doanh 
bus	xe buýt 
busy	bận 
but	nhưng 
button	nút 
by	bởi 
calm	điềm tĩnh 
camera	máy chụp ảnh 
camp	trại 
candle	nến 
capable	có khả năng 
cap	mũ lưỡi trai 
captain	đội trưởng 
card	Thẻ 
career	nghề nghiệp 
careful	cẩn thận 
carefully	cẩn thận 
carriage	vận chuyển 
car	xe hơi 
case	trường hợp 
castle	lâu đài 
cat	mèo 
cave	hang 
ceiling	trần nhà 
cell	tế bào 
center	trung tâm 
century	thế kỷ 
certainly	chắc chắn 
certain	nhất định 
chain	chuỗi 
chair	cái ghế 
challenge	thách 
chamber	phòng 
chance	cơ hội 
chapter	chương 
character	tính cách 
charge	sạc điện 
charm	quyến rũ 
cheek	má 
chest	ngực 
chief	trưởng 
child	đứa trẻ 
chin	cằm 
Chinese	Trung Quốc 
choice	sự lựa chọn 
Christ	Chúa Kitô 
Christian	Cơ đốc giáo 
Christmas	Giáng sinh 
church	nhà thờ 
cigarette	thuốc lá 
circle	vòng tròn 
circumstance	hoàn cảnh 
citizen	công dân 
city	thành phố 
class	lớp học 
clean	dọn dẹp 
clearly	rõ ràng 
clear	thông thoáng 
clerk	nhân viên bán hàng 
clock	đồng hồ 
closely	chặt chẽ 
clothes	quần áo 
cloth	vải 
cloud	đám mây 
club	câu lạc bộ 
coat	áo khoác 
coffee	cà phê 
cold	lạnh 
college	cao đẳng 
color	màu 
colour	màu 
comfortable	thoải mái 
comfort	thoải mái 
command	chỉ huy 
comment	bình luận 
common	chung 
community	cộng đồng 
companion	đồng hành 
company	Công ty 
complete	hoàn thành 
completely	hoàn toàn 
computer	máy tính 
conclusion	konkluderer 
condition	điều kiện 
confidence	tự tin 
confusion	nhầm lẫn 
connection	liên quan 
conscious	có ý thức 
consciousness	ý thức 
consequence	konsekvens 
contact	liên hệ 
content	nội dung 
control	điều khiển 
conversation	cuộc hội thoại 
cool	mát mẻ 
cop	cảnh sát viên 
corner	góc 
correct	đúng 
corridor	hành lang 
cost	chi phí 
cottage	nhà tranh 
couch	đi văng 
could	có thể 
counter	quầy 
country	Quốc gia 
couple	cặp vợ chồng 
courage	lòng can đảm 
course	khóa học 
court	tòa án 
cousin	anh em họ 
cow	bò 
crazy	điên 
creature	sinh vật 
credit	thẻ tín dụng 
crew	phi hành đoàn 
crime	tội phạm 
criminal	hình sự 
crowd	đám đông 
crown	tôn lên 
culture	văn hóa 
cup	cốc 
curiosity	tò mò 
curious	tò mò 
current	hiện tại 
curtain	màn 
curve	đường cong 
custom	phong tục 
dad	cha 
daily	hằng ngày 
damage	tổn thất 
damn	chết tiệt 
danger	nguy hiểm 
dangerous	nguy hiểm 
darkness	bóng tối 
dark	tối 
darling	người yêu 
date	ngày 
daughter	Con gái 
dawn	bình minh 
day	ngày 
dead	đã chết 
deal	thỏa thuận 
dear	kính thưa 
death	tử vong 
decision	quyết định 
deck	boong 
deeply	sâu sắc 
deep	sâu 
degree	bằng cấp 
delicate	tinh vi 
delight	vui mừng 
department	sở 
depth	chiều sâu 
description	miêu tả 
desert	sa mạc 
design	thiết kế 
desire	khao khát 
desk	bàn 
despair	tuyệt vọng 
desperate	tuyệt vọng 
despite	trots 
detail	chi tiết 
detective	thám tử 
development	phát triển 
devil	ác quỷ 
difference	Sự khác biệt 
different	khác nhau 
difficult	khó khăn 
difficulty	khó khăn 
dining	ăn uống 
dinner	bữa tối 
direction	phương hướng 
directly	trực tiếp 
dirt	bụi 
dirty	dơ bẩn 
discussion	thảo luận 
distance	khoảng cách 
distant	xa 
doctor	Bác sĩ 
dog	chó 
dollar	đô la 
door	cửa 
doorway	ô cửa 
double	gấp đôi 
doubt	nghi ngờ 
down	xuống 
dozen	hộp 
dread	kinh sợ 
dream	mơ tưởng 
driver	lái xe 
drug	ma túy 
drunk	say 
dry	khô 
due	do 
dull	đần độn 
during	suốt trong 
dust	bụi 
duty	nhiệm vụ 
each	mỗi 
eager	hăng hái 
early	sớm 
ear	tai 
earth	trái đất 
easily	dễ dàng 
east	đông 
easy	dễ dàng 
edge	cạnh 
education	sự giáo dục 
effect	hiệu ứng 
effort	cố gắng 
egg	trứng 
