store, shop	가게
price	가격
furniture	가구
close	가깝다
sometimes	가끔
go	가다
teach	가르치다
bag	가방
light	가볍다
singer	가수
chest, breast	가슴
song	가요
middle	가운데
scissors	가위
autumn, fall	가을
most	가장
take away	가져가다
bring	가져오다
family	가족
branch	가지
have	가지다
each	각
while	간
simple, easy	간단하다
simply	간단히
snack	간식
soy sauce	간장
nurse	간호사
Galvi, spareribs	갈비
Galbitang, spareribs soup	갈비탕
brown	갈색
transfer	갈아타다
persimmon	감
cold	감기
cold medicine	감기약
close ~ (eyes)	감다
sensation	감동
be impressed	감동하다
thank	감사
thank you	감사드립니다
thank, appreciate	감사하다
thank you	감사합니다
potato	감자
Gamjatang, potato soup	감자탕
suddenly	갑자기
price	값
river	강
puppy	강아지
lecture	강좌
have	갖다
same	같다
together	같이
dog, ~ piece(s)	개
forsythia	개나리
individual	개인
there	거기
street	거리
living room	거실
mirror	거울
almost, nearly	거의
lie	거짓말
anxiety, concern	걱정
worry	걱정하다
health	건강
be healthy	건강하다
cross (a road)	건너가다
cross over	건너다
other side, opposite side	건너편
building	건물
cheers, toast	건배
walk	걷다
bet, call	걸다
get caught, take (time)	걸리다
walk (go)	걸어가다
walk (come)	걸어오다
black	검은색
that, thing, it	것
game	게임
winter	겨울
winter vacation	겨울방학
result	결과
decision	결정
decide	결정하다
marriage	결혼
wedding ceremony	결혼식
get married	결혼하다
competition, game	경기
stadium, arena	경기장
Gyeongbokgung	경복궁
Gyeongju	경주
police	경찰
police officer	경찰관
police office	경찰서
view, landscape	경치
experience	경험
stairs	계단
egg	계란
calculate	계산하다
continue	계속
be, exist (honorific form)	계시다
season	계절
plan	계획
meat	고기
high school	고등학교
high school student	고등학생
choose	고르다
Thank you (past tense)	고마웠습니다
thank	고맙다
Thank you	고맙습니다
paternal aunt	고모
paternal uncle	고모부
express bus	고속버스
cat	고양이
broken, malfunction	고장
red pepper	고추
Kochujang, red pepper paste	고추장
fix	고치다
hungry	고프다
hometown	고향
soon	곧
alley	골목
golf	골프
beautiful	곱다
place	곳
ball	공
space	공간
air	공기
public official	공무원
study	공부
study	공부하다
show, public performance	공연
park	공원
payphone, public phone	공중전화
